id,dropped,vis,item,question: ,option:,correct
38,no,VLAT_i,i_4,"Over the course of 2013, the average price of a pound of coffee beans was ____________.",rising; falling; staying,falling
39,yes,VLAT_i,i_5,For how many months was the average price of a pound of coffee beans cheaper than that in December 2013?,3 months; 4 months; 5 months; 6 months,3 months
40,no,VLAT_j,j_1,What was the number of girls named ‘Amelia’ in 2010 in the UK?,"1,500; 3,800; 4,200; 8,000","4,200"
41,no,VLAT_j,j_2,About what was the ratio of the number of girls named ‘Olivia’ to those named ‘Isla’ in 2014 in the UK?,1 to 1; 1 to 2; 1 to 3; 1 to 4,1 to 1
42,no,VLAT_j,j_3,"Over the course of years between 2009 and 2014, when was the number of girls named ‘Amelia’ at the maximum?",2009; 2011; 2012; 2014,2012
43,yes,VLAT_j,j_4,"Over the course of years between 2009 and 2014, what was the range of the number of girls named ‘Olivia’?","1,200 - 4,700; 1,200 - 8,700; 1,800 - 4,000; 3,000 - 8,700","1,200 - 4,700"
44,no,VLAT_j,j_5,The number of girls named ‘Isla’ was __________ from 2009 to 2012.,rising; falling; staying,rising
45,no,VLAT_j,j_6,"In the UK, the number of girls named ‘Amelia’ in 2014 was more than it was in 2013.",True; False,FALSE
46,no,VLAT_j,j_7,"Over the course of years between 2009 and 2014, the number of girls named ‘Isla’ was always more than ‘Olivia’.",True; False,FALSE
47,no,VLAT_h,h_1,What is the total length of the metro system in Beijing?,330 km; 400 km; 530 km; 560 km,530 km
48,no,VLAT_h,h_2,Which city’s metro system has the largest number of stations?,Seoul; Beijing; New York City; Shanghai,New York City
49,no,VLAT_h,h_3,What is the range of the total length of the metro systems?,150 - 600 km; 240 - 380 km; 240 - 560 km; 180 - 560 km,180 - 560 km
50,yes,VLAT_h,h_4,"In general, the number of stations of the metro systems of the world is evenly distributed.",True; False,TRUE
51,no,VLAT_h,h_5,Which city’s metro system does lie outside the relationship between the total system length and the number of stations most?,Tokyo; New York City; Beijing; London,New York City
52,no,VLAT_h,h_6,A group of the metro systems of the world has approximately 300 stations and around a 200 km system length.,True; False,FALSE
53,no,VLAT_h,h_7,"In general, the ridership of the metro system increases as the number of stations increases.",True; False,FALSE
54,no,VLAT_h,h_8,The metro system in Shanghai has more ridership than the metro system in Beijing.,True; False,FALSE
55,no,VLAT_k,k_1,What was the unemployment rate for Indiana (IN) in 2015?,1.1% - 2.3%; 2.3% - 3.4%; 3.4% - 4.6%; 4.6% - 5.7%,3.4% - 4.6%
56,no,VLAT_k,k_2,In which state was the unemployment rate the highest in 2015?,Alaska (AK); New Mexico (NM); Florida (FL); New York (NY),New Mexico (NM)
57,no,VLAT_k,k_3,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI).",True; False,TRUE
58,yes,VLAT_l,l_1,"Out of the total number of unique visitors for the websites, about what percentage of unique visitors were from Bing in 2010?",5%; 10%; 20%; 30%,10%
59,no,VLAT_l,l_2,For which website was the number of unique visitors the largest in 2010?,Facebook; Amazon; Bing; Google,Google
60,no,VLAT_l,l_3,The number of unique visitors for Amazon was more than that of Yahoo in 2010.,True; False,FALSE
61,no,VLAT_l,l_4,Samsung is nested in the Financial category.,True; False,FALSE
